Player,Team,SO/BB,WHIP,IP,W,L,ERA
Logan Gilbert,SEA,5.95,0.887,208.2,9.0,12.0,3.23
Seth Lugo,KCR,3.77,1.089,206.2,16.0,9.0,3.0
Logan Webb,SFG,3.44,1.231,204.2,13.0,10.0,3.47
Zack Wheeler,PHI,4.31,0.955,200.0,16.0,7.0,2.57
Aaron Nola,PHI,3.94,1.199,199.1,14.0,8.0,3.57
Corbin Burnes,BAL,3.77,1.096,194.1,15.0,9.0,2.92
José Berríos,TOR,2.83,1.154,192.1,16.0,11.0,3.6
Tarik Skubal*,DET,6.51,0.922,192.0,18.0,4.0,2.39
George Kirby,SEA,7.78,1.068,191.0,14.0,11.0,3.53
Dylan Cease,SDP,3.45,1.067,189.1,14.0,11.0,3.47
Jake Irvin,WSN,3.0,1.199,187.2,10.0,14.0,4.41
Cole Ragans*,KCR,3.33,1.143,186.1,11.0,9.0,3.14
Pablo López,MIN,4.83,1.192,185.1,15.0,10.0,4.08
Kutter Crawford,BOS,3.43,1.122,183.2,9.0,16.0,4.36
Luis Severino,NYM,2.68,1.242,182.0,11.0,7.0,3.91
Sean Manaea*,NYM,2.92,1.084,181.2,12.0,6.0,3.47
Brandon Pfaadt,ARI,4.4,1.239,181.2,11.0,10.0,4.71
Cristopher Sánchez*,PHI,3.48,1.244,181.2,11.0,9.0,3.32
Kevin Gausman,TOR,2.89,1.221,181.0,14.0,11.0,3.83
JP Sears*,OAK,2.8,1.223,180.2,11.0,13.0,4.38
Bryce Miller,SEA,3.8,0.976,180.1,12.0,8.0,2.94
Brady Singer,KCR,3.15,1.275,179.2,9.0,13.0,3.71
Tyler Anderson*,LAA,1.95,1.288,179.1,10.0,15.0,3.81
Tanner Houck,BOS,3.21,1.142,178.2,9.0,10.0,3.12
Bailey Ober,MIN,4.44,1.002,178.2,12.0,9.0,3.98
Mitch Keller,PIT,3.32,1.303,178.0,11.0,12.0,4.25
Chris Sale*,ATL,5.77,1.013,177.2,18.0,3.0,2.38
Erick Fedde,CHW,3.18,1.142,121.2,7.0,4.0,3.11
Erick Fedde,STL,2.56,1.204,55.2,2.0,5.0,3.72
Framber Valdez*,HOU,3.07,1.106,176.1,15.0,7.0,2.91
Yusei Kikuchi*,TOR,4.33,1.34,115.2,4.0,9.0,4.75
Yusei Kikuchi*,HOU,5.43,0.933,60.0,5.0,1.0,2.7
Luis Castillo,SEA,3.72,1.169,175.1,11.0,12.0,3.64
Carlos Rodón*,NYY,3.42,1.223,175.0,16.0,9.0,3.96
Patrick Corbin*,WSN,2.57,1.5,174.2,6.0,13.0,5.62
Nestor Cortes*,NYY,4.15,1.153,174.1,9.0,10.0,3.77
Max Fried*,ATL,2.91,1.164,174.1,11.0,10.0,3.25
Tanner Bibee,CLE,4.25,1.117,173.2,12.0,8.0,3.47
Michael King,SDP,3.19,1.192,173.2,13.0,9.0,2.95
