SVC Results:
    param_C  param_gamma  mean_test_score
0      0.01         0.01         0.726754
1      0.01         0.10         0.808698
2      0.01         1.00         0.652396
3      0.01        10.00         0.652396
4      0.01       100.00         0.652396
5      0.10         0.01         0.807196
6      0.10         0.10         0.846027
7      0.10         1.00         0.839718
8      0.10        10.00         0.652396
9      0.10       100.00         0.652396
10     1.00         0.01         0.840619
11     1.00         0.10         0.866007
12     1.00         1.00         0.862176
13     1.00        10.00         0.664564
14     1.00       100.00         0.658705
15    10.00         0.01         0.859172
16    10.00         0.10         0.870213
17    10.00         1.00         0.851285
18    10.00        10.00         0.671173
19    10.00       100.00         0.658705
20   100.00         0.01         0.863978
21   100.00         0.10         0.870138
22   100.00         1.00         0.827775
23   100.00        10.00         0.671173
24   100.00       100.00         0.658705

Random Forest Results:
    param_n_estimators  param_max_depth  mean_test_score
0                   10                3         0.791499
1                   50                3         0.804117
2                  100                3         0.805619
3                   10                4         0.812679
4                   50                4         0.824546
5                  100                4         0.826199
6                   10                5         0.829879
7                   50                5         0.836713
8                  100                5         0.838817
9                   10                6         0.840845
10                  50                6         0.844900
11                 100                6         0.845426
12                  10                7         0.845877
13                  50                7         0.853088
14                 100                7         0.852336
15                  10                8         0.856017
16                  50                8         0.858946
17                 100                8         0.858195
18                  10                9         0.859397
19                  50                9         0.863452
20                 100                9         0.862401
21                  10               10         0.861200
22                  50               10         0.866532
23                 100               10         0.865931
24                  10               11         0.863077
25                  50               11         0.866983
26                 100               11         0.866983
27                  10               12         0.864805
28                  50               12         0.868785
29                 100               12         0.871113
30                  10               13         0.867358
31                  50               13         0.868785
32                 100               13         0.872841
33                  10               14         0.864054
34                  50               14         0.871564
35                 100               14         0.873517
28                  50               12         0.868785
29                 100               12         0.871113
30                  10               13         0.867358
31                  50               13         0.868785
32                 100               13         0.872841
33                  10               14         0.864054
34                  50               14         0.871564
28                  50               12         0.868785
29                 100               12         0.871113
30                  10               13         0.867358
31                  50               13         0.868785
32                 100               13         0.872841
33                  10               14         0.864054
28                  50               12         0.868785
29                 100               12         0.871113
30                  10               13         0.867358
31                  50               13         0.868785
32                 100               13         0.872841
28                  50               12         0.868785
29                 100               12         0.871113
30                  10               13         0.867358
31                  50               13         0.868785
28                  50               12         0.868785
29                 100               12         0.871113
30                  10               13         0.867358
28                  50               12         0.868785
29                 100               12         0.871113
30                  10               13         0.867358
28                  50               12         0.868785
29                 100               12         0.871113
30                  10               13         0.867358
28                  50               12         0.868785
29                 100               12         0.871113
30                  10               13         0.867358
28                  50               12         0.868785
29                 100               12         0.871113
29                 100               12         0.871113
30                  10               13         0.867358
31                  50               13         0.868785
32                 100               13         0.872841
33                  10               14         0.864054
34                  50               14         0.871564
35                 100               14         0.873517
