pixel,importance
pixel1,0.0
pixel2,2.3108504290294496e-05
pixel3,0.0
pixel4,8.770798265535674e-05
pixel5,5.492584480273224e-05
pixel6,2.3756608847199065e-05
pixel7,6.805858035471495e-05
pixel8,7.014949206990534e-05
pixel9,0.00045649034173623235
pixel10,8.337010426986486e-05
pixel11,0.0012953152087510052
pixel12,0.0005956530077075747
pixel13,0.0007554534812242308
pixel14,0.0013068022571218918
pixel15,0.0030322047354589764
pixel16,0.0011547673493040324
pixel17,0.0003400214161833484
pixel18,0.0016992805703118679
pixel19,0.00040826744914261055
pixel20,0.00021044139352457365
pixel21,0.00012557638128959543
pixel22,0.0010165024115480325
pixel23,0.00039680329828684004
pixel24,8.965366136186004e-05
pixel25,8.486344327629489e-05
pixel26,0.00015317874795749348
pixel27,0.0
pixel28,0.0
pixel29,0.0
pixel30,0.0
pixel31,0.0
pixel32,0.0
pixel33,0.0001547975183476713
pixel34,0.00020279300911620917
pixel35,0.00026264067688324484
pixel36,0.000283451333317779
pixel37,0.002111916024871332
pixel38,0.0021711649651008713
pixel39,0.0009425554125712934
pixel40,0.0014774722378602977
pixel41,0.001406624345333316
pixel42,0.0010659501090177373
pixel43,0.0007245953838494031
pixel44,0.0011478343163676518
pixel45,0.0012251856840282225
pixel46,0.0016428635817247789
pixel47,0.007681769900684076
pixel48,0.0055333868376752525
pixel49,0.005492596529155216
pixel50,0.00022964555427282894
pixel51,0.00028491683739643417
pixel52,0.000337628786942039
pixel53,0.0
pixel54,0.0
pixel55,0.0
pixel56,0.0
pixel57,0.0
pixel58,0.0
pixel59,0.0
pixel60,0.0
pixel61,0.00013376863846476094
pixel62,0.00014269540528697182
pixel63,0.00044089220942416585
pixel64,0.0030223751385052224
pixel65,0.0021129290610368274
pixel66,0.00028436181552647725
pixel67,0.00728494164293791
pixel68,0.0007005193602160812
pixel69,0.00045292159795591943
pixel70,0.001845231707272849
pixel71,0.008229029207521816
pixel72,0.0013519002899373474
pixel73,0.0007864297906901346
pixel74,0.0007433220496082163
pixel75,0.0005617763881274228
pixel76,0.0006896762255781384
pixel77,0.004704418416102221
pixel78,0.00947217270204309
pixel79,5.3058933065533094e-05
pixel80,0.00030899556461122193
pixel81,0.00010387209315022478
pixel82,2.2533333849197198e-05
pixel83,0.0
pixel84,0.0
pixel85,2.37968538621348e-05
pixel86,0.0
pixel87,0.0
pixel88,0.0004154003531585504
pixel89,0.00013173610286003424
pixel90,0.00040209518875972843
pixel91,0.00028089199836878154
pixel92,0.0005449218348614949
pixel93,0.001911254626211525
pixel94,0.008505300875745732
pixel95,0.006892418842753157
pixel96,0.0011826567932445642
pixel97,0.0014488646681932382
pixel98,0.0019308094378187135
pixel99,0.0037307986840112426
pixel100,0.00015877934708267362
pixel101,0.0008810699116979
pixel102,0.002783141110096413
pixel103,4.840746078342147e-05
pixel104,0.00032173068646909673
pixel105,0.0005809843278661895
pixel106,0.001586553002777494
pixel107,0.0001312699497843607
pixel108,0.0
pixel109,0.00022778172989234714
pixel110,0.0
pixel111,2.39280397969592e-05
pixel112,7.165741444231729e-05
pixel113,5.845377257197437e-05
pixel114,0.0
pixel115,0.0003401578199585809
pixel116,0.0003159378517651508
pixel117,0.00012298338661386878
pixel118,0.002104630554143243
pixel119,0.0007630133389435076
pixel120,0.0007226751407932723
pixel121,0.00047368892075705897
pixel122,0.0016637614853908472
pixel123,0.001641878449643491
pixel124,0.0027829594868858244
pixel125,0.00021634481817463504
pixel126,0.006181918039837223
pixel127,0.017184178016395414
pixel128,0.0032399222446057663
pixel129,0.0033803101110081234
pixel130,0.0005442216631237626
pixel131,5.195094243505562e-05
pixel132,0.00014641240306325718
pixel133,0.00017137768634136307
pixel134,0.0012482417494074035
pixel135,0.0030144154502633317
pixel136,0.00024563781583529797
pixel137,0.0001499435345331033
pixel138,1.6706599056937908e-05
pixel139,0.0
pixel140,0.0
pixel141,0.0
pixel142,0.0
pixel143,6.349529275387316e-05
pixel144,0.0003092601429817825
pixel145,7.345111593590484e-05
pixel146,0.007617742137898658
pixel147,0.00047994359224300576
pixel148,0.0008580965889159235
pixel149,0.00010660693525788927
pixel150,0.0006540826169451137
pixel151,0.0024669037963701286
pixel152,0.006372558652120896
pixel153,0.0025477487553743332
pixel154,0.00033440105051331284
pixel155,0.003865233014064846
pixel156,0.0003492115668794302
pixel157,0.0009468702506342386
pixel158,0.0002318310778353972
pixel159,0.00037919399096631866
pixel160,0.0001814879518761948
pixel161,0.0004113918748716848
pixel162,0.00011018939392084603
pixel163,0.0011736376006997674
pixel164,0.0007751567453020043
pixel165,0.0002626490000212255
pixel166,0.0
pixel167,3.755876290873318e-05
pixel168,2.4353777229419847e-05
pixel169,0.0
pixel170,0.0
pixel171,0.0
pixel172,0.00012560640825762994
pixel173,0.0003868659686408564
pixel174,0.00889369828005409
pixel175,0.00117011866084772
pixel176,2.507615897821908e-05
pixel177,0.0005072381322477589
pixel178,0.00028041102017092417
pixel179,0.01191860998325036
pixel180,0.02309286391378323
pixel181,0.0
pixel182,0.00034798938687186483
pixel183,0.0006382996197178205
pixel184,0.0003188831073609277
pixel185,0.0007933954992048688
pixel186,0.0016274833860611525
pixel187,0.0010950894233645295
pixel188,0.0009199887259512467
pixel189,0.0009337692756329429
pixel190,0.0004377885550710586
pixel191,0.005829396053016355
pixel192,0.008562798123993598
pixel193,0.0003833418792559497
pixel194,0.00014734183856966233
pixel195,0.00014785909174115295
pixel196,0.0
pixel197,0.0
pixel198,0.0
pixel199,0.0
pixel200,0.00019135820747642724
pixel201,0.0006090288588272308
pixel202,0.013484577921955
pixel203,0.00035712353985863787
pixel204,0.00011792679773501467
pixel205,2.5107080746337424e-05
pixel206,0.00047973879752688194
pixel207,0.02851446953524484
pixel208,0.013832721793645886
pixel209,0.0003929145988617565
pixel210,0.0008787430475028032
pixel211,0.0010321089326631979
pixel212,0.00013470936126176646
pixel213,0.0011897815597507902
pixel214,0.0014331511480153954
pixel215,0.0004538828307911628
pixel216,0.0004756345547667168
pixel217,0.00033207181948375074
pixel218,0.0004987573096571108
pixel219,0.0036099713279901923
pixel220,0.004365691603579764
pixel221,0.0013088624804269355
pixel222,0.001265637802911563
pixel223,0.0005886430011968743
pixel224,0.0001439126085972679
pixel225,4.27013305091958e-05
pixel226,0.0001827693187203864
pixel227,0.0
pixel228,0.0
pixel229,0.0035003657826614045
pixel230,0.0007804390293006527
pixel231,2.9276147778470903e-05
